"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"亿","yì","Archive","5","1057","0","0","0",""
"刺","cì","Archive","5","1058","0","0","0",""
"拥","yōng","Archive","5","1059","0","0","0",""
"齐","qí","Archive","5","1063","0","0","0",""
"虚","xū","Archive","5","1071","0","0","0",""
"析","xī","Archive","5","1073","0","0","0",""
"透","tòu","Archive","5","1077","0","0","0",""
"替","tì","Archive","5","1079","0","0","0",""
"途","tú","Archive","5","1085","0","0","0",""
"兄","xiōng","Archive","5","1089","0","0","0",""
"迅","xùn","Archive","5","1090","0","0","0",""
"套","tào","Archive","5","1091","0","0","0",""
"贸","mào","Archive","5","1092","0","0","0",""
"唯","wéi","Archive","5","1094","0","0","0",""
"轮","lún","Archive","5","1096","0","0","0",""
"库","kù","Archive","5","1097","0","0","0",""
"迹","jī","Archive","5","1098","0","0","0",""
"促","cù","Archive","5","1102","0","0","0",""
"延","yán","Archive","5","1103","0","0","0",""
"震","zhèn","Archive","5","1104","0","0","0",""
"甲","jiǎ","Archive","5","1106","0","0","0",""
"伟","wěi","Archive","5","1107","0","0","0",""
"缓","huǎn","Archive","5","1111","0","0","0",""
"闪","shǎn","Archive","5","1113","0","0","0",""
"哲","zhé","Archive","5","1117","0","0","0",""
"络","luò","Archive","5","1118","0","0","0",""
"纯","chún","Archive","5","1125","0","0","0",""
"忍","rěn","Archive","5","1127","0","0","0",""
"筑","zhù","Archive","5","1130","0","0","0",""
"贝","bèi","Archive","5","1133","0","0","0",""
"振","zhèn","Archive","5","1140","0","0","0",""
"圆","yuán","Archive","5","1145","0","0","0",""
"搞","gǎo","Archive","5","1146","0","0","0",""
"狂","kuáng","Archive","5","1147","0","0","0",""
"措","cuò","Archive","5","1148","0","0","0",""
"培","péi","Archive","5","1152","0","0","0",""
"宽","kuān","Archive","5","1155","0","0","0",""
"摆","bǎi","Archive","5","1158","0","0","0",""
"伸","shēn","Archive","5","1161","0","0","0",""
"摩","mó","Archive","5","1162","0","0","0",""
"悲","bēi","Archive","5","1166","0","0","0",""
"拍","pāi","Archive","5","1167","0","0","0",""
"硬","yìng","Archive","5","1170","0","0","0",""
"麦","mài","Archive","5","1171","0","0","0",""
"操","cāo","Archive","5","1173","0","0","0",""
"阻","zǔ","Archive","5","1175","0","0","0",""
"订","dìng","Archive","5","1176","0","0","0",""
"赞","zàn","Archive","5","1179","0","0","0",""
"纷","fēn","Archive","5","1181","0","0","0",""
"喊","hǎn","Archive","5","1183","0","0","0",""
"违","wéi","Archive","5","1184","0","0","0",""
"汇","huì","Archive","5","1187","0","0","0",""
"币","bì","Archive","5","1188","0","0","0",""
"殊","shū","Archive","5","1191","0","0","0",""
"献","xiàn","Archive","5","1192","0","0","0",""
"裁","cái","Archive","5","1203","0","0","0",""
"触","chù","Archive","5","1207","0","0","0",""
"敬","jìng","Archive","5","1209","0","0","0",""
"墙","qiáng","Archive","5","1212","0","0","0",""
"召","zhào","Archive","5","1214","0","0","0",""
"罚","fá","Archive","5","1215","0","0","0",""
"享","xiǎng","Archive","5","1227","0","0","0",""
"犹","yóu","Archive","5","1230","0","0","0",""
"彻","chè","Archive","5","1240","0","0","0",""
"描","miáo","Archive","5","1246","0","0","0",""
"妙","miào","Archive","5","1250","0","0","0",""
"彼","bǐ","Archive","5","1256","0","0","0",""
"仿","fǎng","Archive","5","1259","0","0","0",""
"闭","bì","Archive","5","1267","0","0","0",""
"庆","qìng","Archive","5","1269","0","0","0",""
"泪","lèi","Archive","5","1271","0","0","0",""
"朗","lǎng","Archive","5","1276","0","0","0",""
"尾","wěi","Archive","5","1282","0","0","0",""
"偷","tōu","Archive","5","1284","0","0","0",""
"虫","chóng","Archive","5","1287","0","0","0",""
"淡","dàn","Archive","5","1293","0","0","0",""
"恨","hèn","Archive","5","1295","0","0","0",""
"繁","fán","Archive","5","1296","0","0","0",""
"伴","bàn","Archive","5","1298","0","0","0",""
"旦","dàn","Archive","5","1300","0","0","0",""
"潮","cháo","Archive","5","1302","0","0","0",""
"粮","liáng","Archive","5","1303","0","0","0",""
"缩","suō","Archive","5","1304","0","0","0",""
"挑","tiāo","Archive","5","1309","0","0","0",""
"灰","huī","Archive","5","1311","0","0","0",""
"珍","zhēn","Archive","5","1314","0","0","0",""
"幕","mù","Archive","5","1315","0","0","0",""
"映","yìng","Archive","5","1316","0","0","0",""
"隔","gé","Archive","5","1319","0","0","0",""
"启","qǐ","Archive","5","1320","0","0","0",""
"泛","fàn","Archive","5","1327","0","0","0",""
"偿","cháng","Archive","5","1329","0","0","0",""
"呆","dāi","Archive","5","1338","0","0","0",""
"衡","héng","Archive","5","1340","0","0","0",""
"舍","shě","Archive","5","1344","0","0","0",""
"婆","pó","Archive","5","1347","0","0","0",""
"灾","zāi","Archive","5","1349","0","0","0",""
"胆","dǎn","Archive","5","1352","0","0","0",""
"俗","sú","Archive","5","1354","0","0","0",""
"辩","biàn","Archive","5","1355","0","0","0",""
"胸","xiōng","Archive","5","1356","0","0","0",""
"劲","jìn","Archive","5","1358","0","0","0",""
"辑","jí","Archive","5","1362","0","0","0",""
"恢","huī","Archive","5","1364","0","0","0",""
"圈","quān","Archive","5","1366","0","0","0",""
"摸","mō","Archive","5","1367","0","0","0",""
"润","rùn","Archive","5","1369","0","0","0",""
"堆","duī","Archive","5","1370","0","0","0",""
"碰","pèng","Archive","5","1371","0","0","0",""
"废","fèi","Archive","5","1376","0","0","0",""
"壁","bì","Archive","5","1380","0","0","0",""
"吹","chuī","Archive","5","1390","0","0","0",""
"糊","hú","Archive","5","1393","0","0","0",""
"盾","dùn","Archive","5","1395","0","0","0",""
"乏","fá","Archive","5","1399","0","0","0",""
"诊","zhěn","Archive","5","1401","0","0","0",""
"摄","shè","Archive","5","1403","0","0","0",""
"凭","píng","Archive","5","1410","0","0","0",""
"抢","qiǎng","Archive","5","1412","0","0","0",""
"绪","xù","Archive","5","1413","0","0","0",""
"肩","jiān","Archive","5","1415","0","0","0",""
"幻","huàn","Archive","5","1417","0","0","0",""
"碎","suì","Archive","5","1420","0","0","0",""
"综","zōng","Archive","5","1425","0","0","0",""
"返","fǎn","Archive","5","1430","0","0","0",""
"薄","báo","Archive","5","1433","0","0","0",""
"悄","qiāo","Archive","5","1434","0","0","0",""
"敏","mǐn","Archive","5","1436","0","0","0",""
"碍","ài","Archive","5","1437","0","0","0",""
"矛","máo","Archive","5","1441","0","0","0",""
"幅","fú","Archive","5","1444","0","0","0",""
"颗","kē","Archive","5","1448","0","0","0",""
"骂","mà","Archive","5","1449","0","0","0",""
"赏","shǎng","Archive","5","1450","0","0","0",""
"贴","tiē","Archive","5","1454","0","0","0",""
"腰","yāo","Archive","5","1458","0","0","0",""
"眉","méi","Archive","5","1460","0","0","0",""
"恋","liàn","Archive","5","1464","0","0","0",""
"吓","xià","Archive","5","1466","0","0","0",""
"辞","cí","Archive","5","1469","0","0","0",""
"尺","chǐ","Archive","5","1474","0","0","0",""
"辈","bèi","Archive","5","1477","0","0","0",""
"滑","huá","Archive","5","1480","0","0","0",""
"绕","rào","Archive","5","1485","0","0","0",""
"趋","qū","Archive","5","1486","0","0","0",""
"胁","xié","Archive","5","1494","0","0","0",""
"插","chā","Archive","5","1495","0","0","0",""
"慧","huì","Archive","5","1505","0","0","0",""
"媒","méi","Archive","5","1506","0","0","0",""
"佩","pèi","Archive","5","1507","0","0","0",""
"豪","háo","Archive","5","1513","0","0","0",""
"兼","jiān","Archive","5","1515","0","0","0",""
"跃","yuè","Archive","5","1516","0","0","0",""
"肃","sù","Archive","5","1518","0","0","0",""
"驶","shǐ","Archive","5","1520","0","0","0",""
"届","jiè","Archive","5","1522","0","0","0",""
"欣","xīn","Archive","5","1523","0","0","0",""
"惠","huì","Archive","5","1524","0","0","0",""
"册","cè","Archive","5","1525","0","0","0",""
"飘","piāo","Archive","5","1527","0","0","0",""
"闲","xián","Archive","5","1529","0","0","0",""
"频","pín","Archive","5","1535","0","0","0",""
"递","dì","Archive","5","1538","0","0","0",""
"撞","zhuàng","Archive","5","1540","0","0","0",""
"滚","gǔn","Archive","5","1542","0","0","0",""
"贡","gòng","Archive","5","1548","0","0","0",""
"疯","fēng","Archive","5","1549","0","0","0",""
"瞧","qiáo","Archive","5","1551","0","0","0",""
"燃","rán","Archive","5","1553","0","0","0",""
"锁","suǒ","Archive","5","1558","0","0","0",""
"劝","quàn","Archive","5","1562","0","0","0",""
"搜","sōu","Archive","5","1564","0","0","0",""
"勤","qín","Archive","5","1565","0","0","0",""
"戒","jiè","Archive","5","1566","0","0","0",""
"驾","jià","Archive","5","1567","0","0","0",""
"柔","róu","Archive","5","1573","0","0","0",""
"腐","fǔ","Archive","5","1576","0","0","0",""
"幼","yòu","Archive","5","1577","0","0","0",""
"践","jiàn","Archive","5","1578","0","0","0",""
"浓","nóng","Archive","5","1585","0","0","0",""
"竹","zhú","Archive","5","1588","0","0","0",""
"逻","luó","Archive","5","1591","0","0","0",""
"遵","zūn","Archive","5","1593","0","0","0",""
"饰","shì","Archive","5","1604","0","0","0",""
"贷","dài","Archive","5","1605","0","0","0",""
"叙","xù","Archive","5","1607","0","0","0",""
"沟","gōu","Archive","5","1610","0","0","0",""
"扶","fú","Archive","5","1612","0","0","0",""
"寿","shòu","Archive","5","1615","0","0","0",""
"询","xún","Archive","5","1617","0","0","0",""
"匆","cōng","Archive","5","1622","0","0","0",""
"奈","nài","Archive","5","1624","0","0","0",""
"慰","wèi","Archive","5","1632","0","0","0",""
"怨","yuàn","Archive","5","1637","0","0","0",""
"躲","duǒ","Archive","5","1644","0","0","0",""
"紫","zǐ","Archive","5","1646","0","0","0",""
"艰","jiān","Archive","5","1647","0","0","0",""
"慌","huāng","Archive","5","1650","0","0","0",""
"吐","tǔ","Archive","5","1653","0","0","0",""
"咬","yǎo","Archive","5","1658","0","0","0",""
"挤","jǐ","Archive","5","1661","0","0","0",""
"弯","wān","Archive","5","1662","0","0","0",""
"雾","wù","Archive","5","1670","0","0","0",""
"屈","qū","Archive","5","1684","0","0","0",""
"蛇","shé","Archive","5","1689","0","0","0",""
"鼠","shǔ","Archive","5","1693","0","0","0",""
"吨","dūn","Archive","5","1700","0","0","0",""
"池","chí","Archive","5","1709","0","0","0",""
"冠","guān","Archive","5","1713","0","0","0",""
"尘","chén","Archive","5","1718","0","0","0",""
"浅","qiǎn","Archive","5","1721","0","0","0",""
"喷","pēn","Archive","5","1729","0","0","0",""
"凌","líng","Archive","5","1731","0","0","0",""
"赔","péi","Archive","5","1734","0","0","0",""
"涂","tú","Archive","5","1735","0","0","0",""
"亏","kuī","Archive","5","1738","0","0","0",""
"寂","jì","Archive","5","1739","0","0","0",""
"煤","méi","Archive","5","1740","0","0","0",""
"恭","gōng","Archive","5","1742","0","0","0",""
"湿","shī","Archive","5","1743","0","0","0",""
"秩","zhì","Archive","5","1749","0","0","0",""
"宿","sù","Archive","5","1752","0","0","0",""
"烂","làn","Archive","5","1754","0","0","0",""
"抖","dǒu","Archive","5","1757","0","0","0",""
"夹","jiā","Archive","5","1758","0","0","0",""
"昆","kūn","Archive","5","1759","0","0","0",""
"猪","zhū","Archive","5","1762","0","0","0",""
"慎","shèn","Archive","5","1765","0","0","0",""
"玻","bō","Archive","5","1769","0","0","0",""
"齿","chǐ","Archive","5","1773","0","0","0",""
"押","yā","Archive","5","1775","0","0","0",""
"漠","mò","Archive","5","1777","0","0","0",""
"疲","pí","Archive","5","1778","0","0","0",""
"醉","zuì","Archive","5","1783","0","0","0",""
"拳","quán","Archive","5","1784","0","0","0",""
"斜","xié","Archive","5","1786","0","0","0",""
"档","dàng","Archive","5","1787","0","0","0",""
"豆","dòu","Archive","5","1793","0","0","0",""
"涨","zhǎng","Archive","5","1803","0","0","0",""
"拼","pīn","Archive","5","1820","0","0","0",""
"歇","xiē","Archive","5","1828","0","0","0",""
"桃","táo","Archive","5","1839","0","0","0",""
"嘉","jiā","Archive","5","1845","0","0","0",""
"俊","jùn","Archive","5","1847","0","0","0",""
"乙","yǐ","Archive","5","1872","0","0","0",""
"妨","fáng","Archive","5","1873","0","0","0",""
"挣","zhēng","Archive","5","1875","0","0","0",""
"览","lǎn","Archive","5","1886","0","0","0",""
"璃","lí","Archive","5","1894","0","0","0",""
"滴","dī","Archive","5","1896","0","0","0",""
"姿","zī","Archive","5","1899","0","0","0",""
"丑","chǒu","Archive","5","1901","0","0","0",""
"劣","liè","Archive","5","1902","0","0","0",""
"匹","pǐ","Archive","5","1908","0","0","0",""
"俱","jù","Archive","5","1909","0","0","0",""
"蜂","fēng","Archive","5","1912","0","0","0",""
"糟","zāo","Archive","5","1918","0","0","0",""
"谨","jǐn","Archive","5","1917","0","0","0",""
"苗","miáo","Archive","5","1920","0","0","0",""
"肠","cháng","Archive","5","1921","0","0","0",""
"挡","dǎng","Archive","5","1933","0","0","0",""
"纲","gāng","Archive","5","1934","0","0","0",""
"肌","jī","Archive","5","1935","0","0","0",""
"膀","bǎng","Archive","5","1941","0","0","0",""
"卧","wò","Archive","5","1944","0","0","0",""
"欠","qiàn","Archive","5","1948","0","0","0",""
"夸","kuā","Archive","5","1955","0","0","0",""
"豫","yù","Archive","5","1956","0","0","0",""
"胃","wèi","Archive","5","1957","0","0","0",""
"睁","zhēng","Archive","5","1963","0","0","0",""
"铃","líng","Archive","5","1969","0","0","0",""
"吻","wěn","Archive","5","1973","0","0","0",""
"脆","cuì","Archive","5","1976","0","0","0",""
"柴","chái","Archive","5","1981","0","0","0",""
"绳","shéng","Archive","5","1983","0","0","0",""
"眠","mián","Archive","5","1986","0","0","0",""
"傻","shǎ","Archive","5","1989","0","0","0",""
"扇","shàn","Archive","5","1993","0","0","0",""
"柜","guì","Archive","5","1994","0","0","0",""
"拦","lán","Archive","5","1996","0","0","0",""
"夕","xī","Archive","5","2003","0","0","0",""
"姻","yīn","Archive","5","2007","0","0","0",""
"氛","fēn","Archive","5","2009","0","0","0",""
"蜜","mì","Archive","5","2014","0","0","0",""
"摘","zhāi","Archive","5","2026","0","0","0",""
"披","pī","Archive","5","2032","0","0","0",""
"辅","fǔ","Archive","5","2033","0","0","0",""
"盆","pén","Archive","5","2035","0","0","0",""
"吵","chǎo","Archive","5","2040","0","0","0",""
"嗯","ń","Archive","5","2042","0","0","0",""
"骤","zhòu","Archive","5","2045","0","0","0",""
"漏","lòu","Archive","5","2052","0","0","0",""
"悠","yōu","Archive","5","2055","0","0","0",""
"滩","tān","Archive","5","2062","0","0","0",""
"嫁","jià","Archive","5","2063","0","0","0",""
"催","cuī","Archive","5","2064","0","0","0",""
"翅","chì","Archive","5","2066","0","0","0",""
"锅","guō","Archive","5","2074","0","0","0",""
"拆","chāi","Archive","5","2076","0","0","0",""
"棋","qí","Archive","5","2089","0","0","0",""
"唉","āi","Archive","5","2091","0","0","0",""
"孕","yùn","Archive","5","2094","0","0","0",""
"链","liàn","Archive","5","2099","0","0","0",""
"艳","yàn","Archive","5","2104","0","0","0",""
"臭","chòu","Archive","5","2105","0","0","0",""
"趁","chèn","Archive","5","2109","0","0","0",""
"愁","chóu","Archive","5","2113","0","0","0",""
"孝","xiào","Archive","5","2116","0","0","0",""
"冻","dòng","Archive","5","2127","0","0","0",""
"闯","chuǎng","Archive","5","2129","0","0","0",""
"宴","yàn","Archive","5","2155","0","0","0",""
"矩","jǔ","Archive","5","2160","0","0","0",""
"胶","jiāo","Archive","5","2170","0","0","0",""
"盼","pàn","Archive","5","2174","0","0","0",""
"脖","bó","Archive","5","2175","0","0","0",""
"虹","hóng","Archive","5","2176","0","0","0",""
"账","zhàng","Archive","5","2179","0","0","0",""
"倡","chàng","Archive","5","2185","0","0","0",""
"猴","hóu","Archive","5","2187","0","0","0",""
"寓","yù","Archive","5","2199","0","0","0",""
"狮","shī","Archive","5","2211","0","0","0",""
"抄","chāo","Archive","5","2213","0","0","0",""
"晕","yūn","Archive","5","2215","0","0","0",""
"砍","kǎn","Archive","5","2217","0","0","0",""
"剪","jiǎn","Archive","5","2227","0","0","0",""
"叉","chā","Archive","5","2231","0","0","0",""
"拐","guǎi","Archive","5","2232","0","0","0",""
"捐","juān","Archive","5","2235","0","0","0",""
"歪","wāi","Archive","5","2239","0","0","0",""
"粘","zhān","Archive","5","2240","0","0","0",""
"陌","mò","Archive","5","2243","0","0","0",""
"窄","zhǎi","Archive","5","2244","0","0","0",""
"鞭","biān","Archive","5","2250","0","0","0",""
"厘","lí","Archive","5","2262","0","0","0",""
"厦","shà","Archive","5","2264","0","0","0",""
"恳","kěn","Archive","5","2265","0","0","0",""
"憾","hàn","Archive","5","2269","0","0","0",""
"摔","shuāi","Archive","5","2270","0","0","0",""
"愧","kuì","Archive","5","2275","0","0","0",""
"洒","sǎ","Archive","5","2283","0","0","0",""
"哎","āi","Archive","5","2294","0","0","0",""
"钓","diào","Archive","5","2305","0","0","0",""
"蝶","dié","Archive","5","2306","0","0","0",""
"讽","fěng","Archive","5","2322","0","0","0",""
"旬","xún","Archive","5","2332","0","0","0",""
"撕","sī","Archive","5","2334","0","0","0",""
"谦","qiān","Archive","5","2345","0","0","0",""
"兔","tù","Archive","5","2364","0","0","0",""
"荐","jiàn","Archive","5","2367","0","0","0",""
"炭","tàn","Archive","5","2369","0","0","0",""
"舅","jiù","Archive","5","2375","0","0","0",""
"裹","guǒ","Archive","5","2387","0","0","0",""
"瞎","xiā","Archive","5","2395","0","0","0",""
"咨","zī","Archive","5","2408","0","0","0",""
"宠","chǒng","Archive","5","2422","0","0","0",""
"兑","duì","Archive","5","2424","0","0","0",""
"霉","méi","Archive","5","2425","0","0","0",""
"塘","táng","Archive","5","2436","0","0","0",""
"帘","lián","Archive","5","2458","0","0","0",""
"厢","xiāng","Archive","5","2467","0","0","0",""
"乖","guāi","Archive","5","2470","0","0","0",""
"娱","yú","Archive","5","2493","0","0","0",""
"娶","qǔ","Archive","5","2494","0","0","0",""
"嗓","sǎng","Archive","5","2496","0","0","0",""
"蹲","dūn","Archive","5","2497","0","0","0",""
"淘","táo","Archive","5","2499","0","0","0",""
"嫩","nèn","Archive","5","2500","0","0","0",""
"壶","hú","Archive","5","2518","0","0","0",""
"傍","bàng","Archive","5","2558","0","0","0",""
"勿","wù","Archive","5","2563","0","0","0",""
"踩","cǎi","Archive","5","2570","0","0","0",""
"煮","zhǔ","Archive","5","2582","0","0","0",""
"逗","dòu","Archive","5","2587","0","0","0",""
"炒","chǎo","Archive","5","2590","0","0","0",""
"寞","mò","Archive","5","2601","0","0","0",""
"甩","shuǎi","Archive","5","2603","0","0","0",""
"燥","zào","Archive","5","2613","0","0","0",""
"晒","shài","Archive","5","2630","0","0","0",""
"屿","yǔ","Archive","5","2636","0","0","0",""
"绸","chóu","Archive","5","2635","0","0","0",""
"痒","yǎng","Archive","5","2646","0","0","0",""
"耽","dān","Archive","5","2658","0","0","0",""
"魅","mèi","Archive","5","2662","0","0","0",""
"狡","jiǎo","Archive","5","2670","0","0","0",""
"匀","yún","Archive","5","2692","0","0","0",""
"熬","áo","Archive","5","2705","0","0","0",""
"毯","tǎn","Archive","5","2711","0","0","0",""
"梳","shū","Archive","5","2717","0","0","0",""
"蔬","shū","Archive","5","2721","0","0","0",""
"捡","jiǎn","Archive","5","2753","0","0","0",""
"删","shān","Archive","5","2780","0","0","0",""
"浏","liú","Archive","5","2841","0","0","0",""
"裔","yì","Archive","5","2842","0","0","0",""
"浇","jiāo","Archive","5","2866","0","0","0",""
"姥","lǎo","Archive","5","2874","0","0","0",""
"烫","tàng","Archive","5","2903","0","0","0",""
"惭","cán","Archive","5","2943","0","0","0",""
"蝴","hú","Archive","5","2964","0","0","0",""
"梨","lí","Archive","5","3004","0","0","0",""
"醋","cù","Archive","5","3076","0","0","0",""
"猾","huá","Archive","5","3083","0","0","0",""
"皂","zào","Archive","5","3087","0","0","0",""
"酱","jiàng","Archive","5","3100","0","0","0",""
"糙","cāo","Archive","5","3118","0","0","0",""
"屉","tì","Archive","5","3127","0","0","0",""
"髦","máo","Archive","5","3149","0","0","0",""
"椒","jiāo","Archive","5","3187","0","0","0",""
"桔","jú","Archive","5","3304","0","0","0",""
"馒","mán","Archive","5","3628","0","0","0",""
"嚏","tì","Archive","5","3897","0","0","0",""
"斯","sī","Archive","6","168","0","0","0",""
"党","dǎng","Archive","6","411","0","0","0",""
"陈","chén","Archive","6","525","0","0","0",""
"攻","gōng","Archive","6","588","0","0","0",""
"苏","sū","Archive","6","590","0","0","0",""
"帝","dì","Archive","6","612","0","0","0",""
"若","ruò","Archive","6","651","0","0","0",""
"波","bō","Archive","6","664","0","0","0",""
"异","yì","Archive","6","709","0","0","0",""
"策","cè","Archive","6","714","0","0","0",""
"罪","zuì","Archive","6","718","0","0","0",""
"州","zhōu","Archive","6","721","0","0","0",""
"宗","zōng","Archive","6","727","0","0","0",""
"协","xié","Archive","6","735","0","0","0",""
"审","shěn","Archive","6","746","0","0","0",""
"皇","huáng","Archive","6","759","0","0","0",""
"副","fù","Archive","6","764","0","0","0",""
"抗","kàng","Archive","6","766","0","0","0",""
"犯","fàn","Archive","6","767","0","0","0",""
"田","tián","Archive","6","778","0","0","0",""
"央","yāng","Archive","6","800","0","0","0",""
"伯","bó","Archive","6","821","0","0","0",""
"监","jiān","Archive","6","838","0","0","0",""
"露","lù","Archive","6","841","0","0","0",""
"野","yě","Archive","6","845","0","0","0",""
"舰","jiàn","Archive","6","851","0","0","0",""
"湾","wān","Archive","6","855","0","0","0",""
"吉","jí","Archive","6","856","0","0","0",""
"剑","jiàn","Archive","6","869","0","0","0",""
"亦","yì","Archive","6","886","0","0","0",""
"恩","ēn","Archive","6","888","0","0","0",""
"鲁","lǔ","Archive","6","898","0","0","0",""
"端","duān","Archive","6","916","0","0","0",""
"探","tàn","Archive","6","917","0","0","0",""
"湖","hú","Archive","6","918","0","0","0",""
"予","yǔ","Archive","6","925","0","0","0",""
"港","gǎng","Archive","6","927","0","0","0",""
"额","é","Archive","6","936","0","0","0",""
"督","dū","Archive","6","946","0","0","0",""
"泽","zé","Archive","6","951","0","0","0",""
"灭","miè","Archive","6","953","0","0","0",""
"莫","mò","Archive","6","955","0","0","0",""
"亡","wáng","Archive","6","957","0","0","0",""
"圣","shèng","Archive","6","960","0","0","0",""
"诺","nuò","Archive","6","969","0","0","0",""
"伦","lún","Archive","6","970","0","0","0",""
"奥","ào","Archive","6","972","0","0","0",""
"唐","táng","Archive","6","973","0","0","0",""
"堂","táng","Archive","6","980","0","0","0",""
"宫","gōng","Archive","6","982","0","0","0",""
"君","jūn","Archive","6","985","0","0","0",""
"谋","móu","Archive","6","989","0","0","0",""
"镇","zhèn","Archive","6","1002","0","0","0",""
"凡","fán","Archive","6","1013","0","0","0",""
"诸","zhū","Archive","6","1021","0","0","0",""
"庄","zhuāng","Archive","6","1024","0","0","0",""
"祖","zǔ","Archive","6","1025","0","0","0",""
"暴","bào","Archive","6","1028","0","0","0",""
"塔","tǎ","Archive","6","1030","0","0","0",""
"隐","yǐn","Archive","6","1034","0","0","0",""
"蒙","méng","Archive","6","1039","0","0","0",""
"欲","yù","Archive","6","1045","0","0","0",""
"遭","zāo","Archive","6","1048","0","0","0",""
"徒","tú","Archive","6","1060","0","0","0",""
"姆","mǔ","Archive","6","1061","0","0","0",""
"曲","qū","Archive","6","1066","0","0","0",""
"塞","sāi","Archive","6","1080","0","0","0",""
"侵","qīn","Archive","6","1086","0","0","0",""
"刑","xíng","Archive","6","1087","0","0","0",""
"谷","gǔ","Archive","6","1095","0","0","0",""
"川","chuān","Archive","6","1109","0","0","0",""
"潜","qián","Archive","6","1112","0","0","0",""
"抵","dǐ","Archive","6","1119","0","0","0",""
"杰","jié","Archive","6","1129","0","0","0",""
"郑","zhèng","Archive","6","1132","0","0","0",""
"混","hùn","Archive","6","1137","0","0","0",""
"臣","chén","Archive","6","1138","0","0","0",""
"雅","yǎ","Archive","6","1139","0","0","0",""
"盛","shèng","Archive","6","1142","0","0","0",""
"怒","nù","Archive","6","1143","0","0","0",""
"残","cán","Archive","6","1150","0","0","0",""
"宇","yǔ","Archive","6","1156","0","0","0",""
"猛","měng","Archive","6","1157","0","0","0",""
"毁","huǐ","Archive","6","1160","0","0","0",""
"盟","méng","Archive","6","1163","0","0","0",""
"丁","dīng","Archive","6","1168","0","0","0",""
"魔","mó","Archive","6","1180","0","0","0",""
"沿","yán","Archive","6","1182","0","0","0",""
"啦","la","Archive","6","1194","0","0","0",""
"瓦","wǎ","Archive","6","1195","0","0","0",""
"援","yuán","Archive","6","1197","0","0","0",""
"夺","duó","Archive","6","1199","0","0","0",""
"偏","piān","Archive","6","1204","0","0","0",""
"袭","xí","Archive","6","1213","0","0","0",""
"侠","xiá","Archive","6","1216","0","0","0",""
"侧","cè","Archive","6","1220","0","0","0",""
"债","zhài","Archive","6","1223","0","0","0",""
"融","róng","Archive","6","1225","0","0","0",""
"纵","zòng","Archive","6","1236","0","0","0",""
"障","zhàng","Archive","6","1237","0","0","0",""
"讯","xùn","Archive","6","1238","0","0","0",""
"涉","shè","Archive","6","1239","0","0","0",""
"刊","kān","Archive","6","1241","0","0","0",""
"爆","bào","Archive","6","1243","0","0","0",""
"乌","wū","Archive","6","1244","0","0","0",""
"役","yì","Archive","6","1245","0","0","0",""
"患","huàn","Archive","6","1249","0","0","0",""
"仙","xiān","Archive","6","1255","0","0","0",""
"症","zhèng","Archive","6","1258","0","0","0",""
"倾","qīng","Archive","6","1260","0","0","0",""
"陷","xiàn","Archive","6","1262","0","0","0",""
"轰","hōng","Archive","6","1264","0","0","0",""
"撤","chè","Archive","6","1270","0","0","0",""
"疾","jí","Archive","6","1273","0","0","0",""
"缘","yuán","Archive","6","1274","0","0","0",""
"杜","dù","Archive","6","1277","0","0","0",""
"仪","yí","Archive","6","1283","0","0","0",""
"奔","bēn","Archive","6","1285","0","0","0",""
"珠","zhū","Archive","6","1286","0","0","0",""
"驻","zhù","Archive","6","1288","0","0","0",""
"孔","kǒng","Archive","6","1289","0","0","0",""
"翼","yì","Archive","6","1294","0","0","0",""
"叹","tàn","Archive","6","1299","0","0","0",""
"愈","yù","Archive","6","1301","0","0","0",""
"罢","bà","Archive","6","1305","0","0","0",""
"径","jìng","Archive","6","1307","0","0","0",""
"恰","qià","Archive","6","1308","0","0","0",""
"捕","bǔ","Archive","6","1312","0","0","0",""
"裂","liè","Archive","6","1317","0","0","0",""
"泰","tài","Archive","6","1318","0","0","0",""
"尖","jiān","Archive","6","1321","0","0","0",""
"忠","zhōng","Archive","6","1322","0","0","0",""
"炎","yán","Archive","6","1324","0","0","0",""
"荒","huāng","Archive","6","1328","0","0","0",""
"横","héng","Archive","6","1330","0","0","0",""
"孤","gū","Archive","6","1334","0","0","0",""
"胞","bāo","Archive","6","1341","0","0","0",""
"魂","hún","Archive","6","1348","0","0","0",""
"洪","hóng","Archive","6","1350","0","0","0",""
"津","jīn","Archive","6","1353","0","0","0",""
"晓","xiǎo","Archive","6","1357","0","0","0",""
"仁","rén","Archive","6","1360","0","0","0",""
"贫","pín","Archive","6","1359","0","0","0",""
"赖","lài","Archive","6","1365","0","0","0",""
"仰","yǎng","Archive","6","1368","0","0","0",""
"艇","tǐng","Archive","6","1372","0","0","0",""
"凶","xiōng","Archive","6","1378","0","0","0",""
"署","shǔ","Archive","6","1379","0","0","0",""
"御","yù","Archive","6","1381","0","0","0",""
"奉","fèng","Archive","6","1382","0","0","0",""
"旋","xuán","Archive","6","1383","0","0","0",""
"晨","chén","Archive","6","1388","0","0","0",""
"伏","fú","Archive","6","1389","0","0","0",""
"隆","lóng","Archive","6","1400","0","0","0",""
"奴","nú","Archive","6","1402","0","0","0",""
"丧","sàng","Archive","6","1404","0","0","0",""
"渡","dù","Archive","6","1406","0","0","0",""
