"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"香","xiāng","Retired","3","776","0","0","0",""
"草","cǎo","Retired","3","789","0","0","0",""
"画","huà","Retired","3","883","0","0","0",""
"耳","ěr","Retired","3","887","0","0","0",""
"板","bǎn","Retired","3","930","0","0","0",""
"鲜","xiān","Retired","3","958","0","0","0",""
"牙","yá","Retired","3","997","0","0","0",""
"爷","yé","Retired","3","1007","0","0","0",""
"哭","kū","Retired","3","1210","0","0","0",""
"鸟","niǎo","Retired","3","1263","0","0","0",""
"冬","dōng","Retired","3","1384","0","0","0",""
"爬","pá","Retired","3","1426","0","0","0",""
"熊","xióng","Retired","3","1741","0","0","0",""
"斤","jīn","Retired","3","1866","1","0","1","100"
"澡","zǎo","Retired","3","2695","0","0","0",""
"全","quán","Retired","4","124","0","0","0",""
"美","měi","Retired","4","151","0","0","0",""
"入","rù","Retired","4","210","0","0","0",""
"反","fǎn","Retired","4","237","1","0","1","100"
"队","duì","Retired","4","268","0","0","0",""
"林","lín","Retired","4","364","0","0","0",""
"父","fù","Retired","4","589","0","0","0",""
"云","yún","Retired","4","692","0","0","0",""
"默","mò","Archive","4","1031","0","0","0",""
"熟","shú","Archive","4","1035","0","0","0",""
"伙","huǒ","Archive","4","1047","0","0","0",""
"弄","nòng","Archive","4","1053","0","0","0",""
"刀","dāo","Archive","4","1067","0","0","0",""
"窗","chuāng","Archive","4","1074","0","0","0",""
"醒","xǐng","Archive","4","1075","0","0","0",""
"购","gòu","Archive","4","1078","0","0","0",""
"虎","hǔ","Archive","4","1083","0","0","0",""
"扬","yáng","Archive","4","1084","0","0","0",""
"毕","bì","Archive","4","1093","0","0","0",""
"尤","yóu","Archive","4","1099","0","0","0",""
"竞","jìng","Archive","4","1100","0","0","0",""
"弃","qì","Archive","4","1105","0","0","0",""
"麻","má","Archive","4","1108","0","0","0",""
"申","shēn","Archive","4","1110","0","0","0",""
"售","shòu","Archive","4","1114","0","0","0",""
"针","zhēn","Archive","4","1116","0","0","0",""
"抱","bào","Archive","4","1122","0","0","0",""
"鼓","gǔ","Archive","4","1123","0","0","0",""
"植","zhí","Archive","4","1124","0","0","0",""
"页","yè","Archive","4","1128","0","0","0",""
"折","zhé","Archive","4","1131","0","0","0",""
"尊","zūn","Archive","4","1134","0","0","0",""
"秀","xiù","Archive","4","1136","0","0","0",""
"染","rǎn","Archive","4","1141","0","0","0",""
"迷","mí","Archive","4","1153","0","0","0",""
"诚","chéng","Archive","4","1154","0","0","0",""
"彩","cǎi","Archive","4","1177","0","0","0",""
"抽","chōu","Archive","4","1178","0","0","0",""
"浪","làng","Archive","4","1186","0","0","0",""
"丰","fēng","Archive","4","1189","0","0","0",""
"译","yì","Archive","4","1198","0","0","0",""
